epoch,loss,val_loss
0,3.63945433299,0.245399234692
1,3.32441102664,0.2541604201
2,3.47647485733,0.324976436297
3,3.22013301849,0.367192983627
4,3.32361177603,0.429944086075
5,3.15173079173,0.493607711792
6,2.6965981245,0.456727315982
7,2.63036200205,0.406432404121
8,2.73863568306,0.432423247894
9,2.45459023317,0.464978059133
10,2.80246286392,0.484751407305
11,2.61103576024,0.489971063534
12,2.60307164987,0.515783603986
13,2.42926813761,0.458234490951
14,2.40682272911,0.417968966564
15,2.20796060562,0.403225133816
16,2.3175927639,0.343787674109
17,2.2655781587,0.3478776594
18,1.87626535892,0.405301092068
19,2.16301511923,0.452212023735
